Course,Main Category,Sub Category,General Info,Content,Type
ART 1,"Literature, Visual Arts","History, drawing","Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","Visual Art, social, cultural, historical, aesthetic implications","Interpretation, Studio, Writing"
ART 2,"Literature, Media Art","History, Digital","Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","Web-Design, aesthetic judgements","research, presentation, group project, lecture"
ART 3,Media Arts,digital,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","Web-Design, HTML","Group project, collaboration, on-line, lecture"
ART 10,Literature,History,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","creativity, art movements, cultural influences, artistic genres, artists","research, art gallery, museum, portfolio"
ART 17,Visual Arts,Sculpture,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking","jewelry, metal art, fabrication, surface traetment, art concepts","Studio, presentation, museum, portfolio"
ART 20,Visual Arts,drawing,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking","pencil, charcoal, conte, ink, ink wash, paste","studio, portfolio, museum, presentation"
ART 30,"Literature, Visual Arts","sculpture, History","Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking","modeling, replication, subtractive processes, fabrication, sculpture, cultural,","lecture, studio, presentations, studio, museum"
ART 40,"Literature, Visual Arts","History, Sculpture","Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking","printmaking, screenprinting, relief, intaglio, lithography, communicate,","Museum, studio"
ART 50,"Literature, Visual Arts","Painting, History","Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking","painting, visual literacy, paintery media, experimentation","presentation, studio, museum"
ART 51N,"Literature, Visual Arts","History, painting","Cross-listed with: METEO 51N

General Education: Arts (GA)

General Education: Natural Sciences (GN)

General Education - Integrative: Interdomain

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Crit and Analytical Think

GenEd Learning Objective: Integrative Thinking

GenEd Learning Objective: Key Literacies","science, landscape, painting, data, meteorology, Clouds, painting","analysis, discussion, lecture"
ART 80,Visual Arts,Sculpture,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","ceramic sculpture, pottery, visual literacy, cultural, creative production, contemporary art, political, social","studio, museum, portfolio"
ART 100,Literature,History,"Bachelor of Arts: Arts

General Education: Arts (GA)","creative production, creation, political, contemporary social, portfolio","studio, lecture, discussion, writing"
ART 101,Media Arts,Digital,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","Web Design, XHTML, software, hardware, disabilities, design, art, media","presentation, lecture"
ART 102,Media Arts,Digital,"General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","computer aided design, modeling, virtual environment","lecture, demonstration, critique"
ART 144Z,Literature,History,"General Education: Arts (GA)

General Education - Integrative: Linked

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Integrative Thinking","environmental, humanitarian, activism, climate change, installation art, video, photography","research, presentation, discussion, lecture"
ART 160N,"Literature, Media Art","History, digital","General Education: Arts (GA)

General Education: Natural Sciences (GN)

General Education - Integrative: Interdomain

GenEd Learning Objective: Effective Communication

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Crit and Analytical Think

GenEd Learning Objective: Integrative Thinking","scientific, STEM, Science, Technology, Engineering, Mathematics","lecture, presentation, class projects"
ART 165,Literature,History,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","media, space, artistic expression, cultural",studio
ART 166,Visual Arts,Sculpture,"Bachelor of Arts: Arts

General Education: Arts (GA)

GenEd Learning Objective: Creative Thinking

GenEd Learning Objective: Key Literacies","modeling, construction, reduction, assemblage, casting",studio
